iter	Logloss
0	0.6921977849
1	0.6914448874
2	0.6906715433
3	0.6900153128
4	0.6892821644
5	0.6886755291
6	0.6880865097
7	0.6876045549
8	0.687197081
9	0.6867910062
10	0.6863960209
11	0.6860002219
12	0.6856685015
13	0.6853744781
14	0.6850923009
15	0.684817252
16	0.6845409392
17	0.6842877736
18	0.6840936462
19	0.6839245166
20	0.6837013516
21	0.6835177138
22	0.6833372276
23	0.6832654072
24	0.6830728702
25	0.6829055734
26	0.6827892449
27	0.6826794823
28	0.6825539641
29	0.6824790596
30	0.6823942458
31	0.6822913286
32	0.6822206943
33	0.6821295189
34	0.6820170434
35	0.6819298232
36	0.6818759989
37	0.6818004193
38	0.681733373
39	0.6816763603
40	0.6816419536
41	0.6815875011
42	0.6815297262
43	0.6814986829
44	0.6814546746
45	0.6814139618
46	0.6813812563
47	0.6813270098
48	0.6812871676
49	0.6812284008
50	0.6812021519
51	0.6811572507
52	0.6811170163
53	0.6810838882
54	0.6810461735
55	0.6810099662
56	0.6809788058
57	0.6809421585
58	0.6808931541
59	0.6808529192
60	0.6808208409
61	0.6807899395
62	0.6807599824
63	0.6807301735
64	0.6807075763
65	0.6806815701
66	0.6806642059
67	0.6806458586
68	0.6806284296
69	0.6806120052
70	0.6805856483
71	0.6805651276
72	0.6805324757
73	0.6805196682
74	0.6805061024
75	0.680481023
76	0.6804633314
77	0.680448391
78	0.6804286571
79	0.6804172016
80	0.6804034775
81	0.6803867933
82	0.6803687789
83	0.680347411
84	0.6803262545
85	0.6803094935
86	0.6802974432
87	0.680280097
88	0.6802586358
89	0.6802402535
90	0.6802271089
91	0.6802076665
92	0.68019149
93	0.6801749103
94	0.6801554489
95	0.6801343774
96	0.6801232529
97	0.6801037199
98	0.680091505
99	0.6800778043
100	0.6800616001
101	0.6800500142
102	0.6800356899
103	0.6800185892
104	0.6800030608
105	0.6799869034
106	0.6799725273
107	0.6799541393
108	0.6799360087
109	0.6799263704
110	0.6799068929
111	0.6798961063
112	0.679881526
113	0.6798707589
114	0.6798613455
115	0.6798312597
116	0.6798139464
117	0.6798060474
118	0.6797893624
119	0.6797801591
120	0.6797668854
121	0.6797563662
122	0.6797409257
123	0.6797241243
124	0.6797132026
125	0.6797017929
126	0.6796874934
127	0.6796714831
128	0.6796549608
129	0.6796407999
130	0.6796284017
131	0.6796104201
132	0.6795963229
133	0.679584363
134	0.6795722751
135	0.6795578942
136	0.679542701
137	0.6795319342
138	0.6795257057
139	0.6795166205
140	0.6795085983
141	0.6794952652
142	0.6794836247
143	0.6794714031
144	0.6794612289
145	0.6794510669
146	0.6794418455
147	0.6794285848
148	0.6794148271
149	0.6794070719
