iter	Passed	Remaining
0	16	2433
1	33	2497
2	49	2416
3	66	2445
4	82	2406
5	99	2395
6	115	2367
7	132	2348
8	149	2337
9	165	2315
10	181	2289
11	197	2273
12	213	2252
13	230	2241
14	246	2219
15	262	2199
16	279	2186
17	294	2158
18	310	2137
19	325	2116
20	341	2096
21	357	2078
22	372	2058
23	389	2045
24	405	2027
25	421	2011
26	439	2000
27	455	1984
28	472	1970
29	488	1954
30	503	1932
31	519	1915
32	535	1897
33	551	1880
34	566	1861
35	582	1844
36	598	1827
37	613	1809
38	631	1798
39	647	1781
40	663	1764
41	679	1747
42	696	1732
43	713	1719
44	729	1702
45	745	1685
46	761	1668
47	778	1654
48	795	1639
49	811	1623
50	826	1605
51	843	1588
52	859	1572
53	875	1556
54	891	1540
55	907	1523
56	923	1506
57	940	1491
58	955	1474
59	972	1458
60	989	1443
61	1006	1428
62	1024	1414
63	1041	1398
64	1056	1381
65	1073	1366
66	1088	1348
67	1104	1331
68	1121	1316
69	1138	1300
70	1154	1284
71	1169	1266
72	1186	1251
73	1201	1234
74	1219	1219
75	1237	1204
76	1254	1189
77	1271	1173
78	1288	1157
79	1305	1142
80	1322	1126
81	1339	1110
82	1354	1093
83	1371	1077
84	1389	1062
85	1403	1044
86	1418	1027
87	1434	1010
88	1449	993
89	1466	977
90	1482	961
91	1497	943
92	1512	927
93	1527	910
94	1544	894
95	1561	878
96	1578	862
97	1592	845
98	1610	829
99	1627	813
100	1644	797
101	1660	781
102	1677	765
103	1692	748
104	1710	733
105	1725	716
106	1740	699
107	1757	683
108	1774	667
109	1789	650
110	1806	634
111	1823	618
112	1838	602
113	1855	585
114	1870	569
115	1887	553
116	1905	537
117	1922	521
118	1938	504
119	1954	488
120	1970	472
121	1986	455
122	2001	439
123	2017	423
124	2034	406
125	2048	390
126	2065	374
127	2081	357
128	2098	341
129	2115	325
130	2132	309
131	2149	293
132	2165	276
133	2181	260
134	2196	244
135	2213	227
136	2231	211
137	2247	195
138	2263	179
139	2279	162
140	2296	146
141	2311	130
142	2329	114
143	2345	97
144	2361	81
145	2376	65
146	2393	48
147	2408	32
148	2426	16
149	2441	0
